"ImagesId"	"rightsHolder"	"license"	"references"
"3117810679"	"Thomas Barbin"	"CC_BY_NC_4_0"	"https://www.inaturalist.org/observations/78741954"
"3117814411"	"Amaro Alves"	"CC_BY_NC_4_0"	"https://www.inaturalist.org/observations/71834272"
"3118247672"	"Joshua Wong"	"CC_BY_NC_4_0"	"https://www.inaturalist.org/observations/78707135"
"3118374309"	"Анатолий Озерной /Anatoliy Ozernoy"	"CC_BY_NC_4_0"	"https://www.inaturalist.org/observations/22072669"
"3118404534"	"Thomas Job"	"CC_BY_NC_4_0"	"https://www.inaturalist.org/observations/78047480"
"3118474634"	"eduardmarques"	"CC_BY_NC_4_0"	"https://www.inaturalist.org/observations/79496389"
"3124754130"	"aggranada"	"CC_BY_NC_4_0"	"https://www.inaturalist.org/observations/80398410"
"3301805820"	"Merav Vonshak"	"CC_BY_NC_4_0"	"https://www.inaturalist.org/observations/80999764"
"3301830155"	"calau00"	"CC_BY_NC_4_0"	"https://www.inaturalist.org/observations/81622414"
"3302199480"	"Jacky Lien."	"CC_BY_NC_4_0"	"https://www.inaturalist.org/observations/70921688"
"3302275579"	"Natalia Bulbulashvili"	"CC_BY_NC_4_0"	"https://www.inaturalist.org/observations/81427823"
"3302422606"	"Zygy"	"CC0_1_0"	"https://www.inaturalist.org/observations/78775498"
"3307149351"	"f-owl"	"CC_BY_NC_4_0"	"https://www.inaturalist.org/observations/53758548"
"3307185083"	"Joshua Wong"	"CC_BY_NC_4_0"	"https://www.inaturalist.org/observations/83003201"
"3307200085"	"Kutushev Radik"	"CC_BY_NC_4_0"	"https://www.inaturalist.org/observations/83234331"
"3307443742"	"juliegraham173"	"CC_BY_NC_4_0"	"https://www.inaturalist.org/observations/82988961"
"3320863554"	"Степан"	"CC_BY_NC_4_0"	"https://www.inaturalist.org/observations/83487877"
"3320939722"	"Thomas Barbin"	"CC_BY_NC_4_0"	"https://www.inaturalist.org/observations/84504906"
"3320963341"	"tjeales"	"CC_BY_NC_4_0"	"https://www.inaturalist.org/observations/85084766"
"3327873027"	"Thiago Gonçalves Coronado Antunes"	"CC_BY_NC_4_0"	"https://www.inaturalist.org/observations/86568871"
"3330744654"	"Linda Rogan EntSocVic"	"CC_BY_NC_4_0"	"https://www.inaturalist.org/observations/87252043"
"3333390948"	"Shashikanth B Kambannavar"	"CC_BY_NC_4_0"	"https://www.inaturalist.org/observations/88477649"
"3335226349"	"Md Jusri"	"CC_BY_NC_4_0"	"https://www.inaturalist.org/observations/89889780"
